Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vn95;vn;ВН-95;ТП-324 ввод с Л-18П-2 КТП-119;false;11;0;0;1;0;1;true;ВН-95 Включен;true;ВН-95 Выключен;1;;0;0;0;0;0;3
vn96;vn;ВН-96;ТП-24 ввод с Л-2П-15 от ТП-22 (т/б Косалма);false;11;0;0;1;0;1;true;ВН-96 Включен;true;ВН-96 Выключен;1;;0;0;0;0;0;3
vn97;vn;ВН-97;ТП-24 ввод с Л-2П-15 от ВС-11 (т/б Косалма);false;11;0;0;1;0;1;true;ВН-97 Включен;true;ВН-97 Выключен;1;;0;0;0;0;0;3
vn98;vn;ВН-98;Л-21-7 между ТП-33 и ТП-212 (за ст.Шуйская);false;11;0;0;1;0;1;true;ВН-98 Включен;true;ВН-98 Выключен;1;;0;0;0;0;0;3
vn99;vn;ВН-99;ТП-185 вывод на ТП-186 Л-52П-12 (п.Мелиоративный) (ЗН);false;11;0;0;1;0;1;true;ВН-99 Включен;true;ВН-99 Выключен;1;;0;0;0;0;0;3
vn100;vn;ВН-100;ТП-185 вывод на КЛ ТП-186 Л-52П-2 (п.Мелиоративный) (ЗН);false;11;0;0;1;0;1;true;ВН-100 Включен;true;ВН-100 Выключен;1;;0;0;0;0;0;3
vn101;vn;ВН-101;ТП-186 ввод с ТП-185 Л-52П-12 (п.Мелиоративный) (ЗН);false;11;0;0;1;0;1;true;ВН-101 Включен;true;ВН-101 Выключен;1;;0;0;0;0;0;3
vn102;vn;ВН-102;ТП-186 ввод с ТП-185 Л-52П-2 (п.Мелиоративный) (ЗН);false;11;0;0;1;0;1;true;ВН-102 Включен;true;ВН-102 Выключен;1;;0;0;0;0;0;3
vn103;vn;ВН-103;ТП-41 вывод с ТП-2 Л-5-17 (с.Деревянное);false;11;0;0;1;0;1;true;ВН-103 Включен;true;ВН-103 Выключен;0;;0;0;0;0;0;3
vn104;vn;ВН-104;ТП-117 ввод с ТП-120 Л-18П-3 (г-н Бесовец);false;11;0;0;1;0;1;true;ВН-104 Включен;true;ВН-104 Выключен;1;;0;0;0;0;0;3
vn105;vn;ВН-105;ТП-375 вывод на ТП-378 (Нефтебаза);false;11;0;0;1;0;1;true;ВН-105 Включен;true;ВН-105 Выключен;1;;0;0;0;0;0;3
vn106;vn;ВН-106;ТП-43 ввод с ТП-48 Л-22П-13 (с.Деревянное) (ЗН);false;11;0;0;1;0;1;true;ВН-106 Включен;true;ВН-106 Выключен;1;;0;0;0;0;0;3
vn107;vn;ВН-107;ТП-43 ввод с ТП-2 Л-5-17 (с.Деревянное) (ЗН);false;11;0;0;1;0;1;true;ВН-107 Включен;true;ВН-107 Выключен;1;;0;0;0;0;0;3
vn108;vn;ВН-108;ТП-125 ввод с Л-18П-2 (п.Чална) (ЗН);false;11;0;0;1;0;1;true;ВН-108 Включен;true;ВН-108 Выключен;1;;0;0;0;0;0;3
vn109;vn;ВН-109;ТП-125 вывод Л-18П-2 к ТП-196, ВС-2 (п.Чална) (ЗН);false;11;0;0;1;0;1;true;ВН-109 Включен;true;ВН-109 Выключен;1;;0;0;0;0;0;3
vn110;vn;ВН-110;ТП-50 ввод с Л-38П-2 (Лососинное) (ЗН);false;11;0;0;1;0;1;true;ВН-110 Включен;true;ВН-110 Выключен;1;;0;0;0;0;0;3
vn111;vn;ВН-111;ТП-50 ввод с Л-38П-1 (Лососинное) (ЗН);false;11;0;0;1;0;1;true;ВН-111 Включен;true;ВН-111 Выключен;0;;0;0;0;0;0;3
vn112;vn;ВН-112;ТП-57 ввод с Л-82-11 от ТП-61 (п.Ладва);false;11;0;0;1;0;1;true;ВН-112 Включен;true;ВН-112 Выключен;1;;0;0;0;0;0;3
vn113;vn;ВН-113;ТП-57 вывод с Л-82-11 на ТП-66 (п.Ладва);false;11;0;0;1;0;1;true;ВН-113 Включен;true;ВН-113 Выключен;1;;0;0;0;0;0;3
vn114;vn;ВН-114;ТП-66 ввод  Л-82-11 с ТП-57 (п.Ладва);false;11;0;0;1;0;1;true;ВН-114 Включен;true;ВН-114 Выключен;1;;0;0;0;0;0;3
vn115;vn;ВН-115;ТП-66 вывод Л-82-11 в сторону ТП-60 и ТП-68 (п.Ладва);false;11;0;0;1;0;1;true;ВН-115 Включен;true;ВН-115 Выключен;1;;0;0;0;0;0;3
vn116;vn;ВН-116;РП-10 кВ ''Котельная'' ввод с ТП-185 (п.Мелиоративный) (ЗН);false;11;0;0;1;0;1;true;ВН-116 Включен;true;ВН-116 Выключен;1;;0;0;0;0;0;3
vn117;vn;ВН-117;РП-10 кВ ''Котельная'' ввод Л-52П-13 от П/ст 52П (п.Мелиоративный) (ЗН);false;11;0;0;1;0;1;true;ВН-117 Включен;true;ВН-117 Выключен;1;;0;0;0;0;0;3
vn118;vn;ВН-118;ТП-185 вывод на РП-10 кВ ''Котельная'' (п.Мелиоративный);false;11;0;0;1;0;1;true;ВН-118 Включен;true;ВН-118 Выключен;0;;0;0;0;0;0;3
vn119;vn;ВН-119;ТП-191 вывод на ТП-186 (п.Мелиоративный);false;11;0;0;1;0;1;true;ВН-119 Включен;true;ВН-119 Выключен;1;;0;0;0;0;0;3
vn120;vn;ВН-120;ТП-191 вывод на ТП-189 (п.Мелиоративный);false;11;0;0;1;0;1;true;ВН-120 Включен;true;ВН-120 Выключен;1;;0;0;0;0;0;3
vn121;vn;ВН-121;ТП-311 ввод на ВН-123 ТП-312 Л-82-3 (п.Ладва);false;11;0;0;1;0;1;true;ВН-121 Включен;true;ВН-121 Выключен;1;;0;0;0;0;0;3
vn122;vn;ВН-122;ТП-311 РМД-1 ввод с Л-82-3 (п.Ладва);false;11;0;0;1;0;1;true;ВН-122 Включен;true;ВН-122 Выключен;0;;0;0;0;0;0;3
vn123;vn;ВН-123;ТП-312 РМД-2 вывод на ВН-121 ТП-311 (п.Ладва);false;11;0;0;1;0;1;true;ВН-123 Включен;true;ВН-123 Выключен;1;;0;0;0;0;0;3
vn124;vn;ВН-124;ТП-312 РМД-2 вывод на Л-82-3 на ТП-100 (п.Ладва);false;11;0;0;1;0;1;true;ВН-124 Включен;true;ВН-124 Выключен;0;;0;0;0;0;0;3
